
> ankhoptics-temp@0.1.0 dev
> next dev

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://172.19.48.1:3000
- Environments: .env

✓ Starting...
✓ Ready in 4.5s
 GET / 200 in 4.7s (compile: 1623ms, render: 3.1s)
⚠ Cross origin request detected from steady-writings-medicare-mariah.trycloudflare.com to /_next/* resource. In a future major version of Next.js, you will need to explicitly configure "allowedDevOrigins" in next.config to allow this.
Read more: https://nextjs.org/docs/app/api-reference/config/next-config-js/allowedDevOrigins
 GET /api/store/products/amber-gold-gold-series-magic-eye 200 in 39ms (compile: 10ms, render: 30ms)
 GET /api/auth/session 200 in 45ms (compile: 14ms, render: 31ms)
 GET /api/store/brands 200 in 12ms (compile: 4ms, render: 9ms)
 GET /api/settings/store 200 in 10ms (compile: 2ms, render: 7ms)
 GET /api/settings/store 200 in 13ms (compile: 3ms, render: 10ms)
 GET /api/store/colors-modalities 200 in 18ms (compile: 10ms, render: 8ms)
 GET /api/store/brands 200 in 24ms (compile: 4ms, render: 19ms)
 GET /api/settings/store 200 in 15ms (compile: 4ms, render: 11ms)
 GET /api/settings/store 200 in 10ms (compile: 3ms, render: 7ms)
 GET /products/amber-gold-gold-series-magic-eye 200 in 131ms (compile: 12ms, render: 118ms)
 GET /api/store/brands 200 in 31ms (compile: 4ms, render: 27ms)
 GET /api/settings/store 200 in 22ms (compile: 4ms, render: 17ms)
 GET /api/store/colors-modalities 200 in 27ms (compile: 3ms, render: 24ms)
 GET /api/auth/session 200 in 25ms (compile: 11ms, render: 14ms)
 GET /api/store/products/amber-gold-gold-series-magic-eye 200 in 51ms (compile: 13ms, render: 38ms)
 GET /api/store/colors-modalities 200 in 12ms (compile: 3ms, render: 8ms)
 GET /api/settings/store 200 in 18ms (compile: 5ms, render: 13ms)
 GET /api/store/brands 200 in 20ms (compile: 9ms, render: 11ms)
 GET /api/settings/store 200 in 13ms (compile: 4ms, render: 9ms)
 GET /api/store/brands 200 in 14ms (compile: 5ms, render: 9ms)
 GET /api/settings/store 200 in 14ms (compile: 5ms, render: 9ms)
 GET /api/settings/store 200 in 8ms (compile: 3ms, render: 6ms)
 GET /about 404 in 25ms (compile: 6ms, render: 19ms)
 GET /about 404 in 75ms (compile: 5ms, render: 69ms)
 GET /products/amber-gold-gold-series-magic-eye 200 in 156ms (compile: 12ms, render: 144ms)
 GET /api/store/colors-modalities 200 in 13ms (compile: 3ms, render: 10ms)
 GET /api/settings/store 200 in 19ms (compile: 3ms, render: 17ms)
 GET /api/store/brands 200 in 63ms (compile: 10ms, render: 53ms)
 GET /api/auth/session 200 in 57ms (compile: 13ms, render: 44ms)
 GET /api/store/products/amber-gold-gold-series-magic-eye 200 in 74ms (compile: 31ms, render: 43ms)
 GET /api/settings/store 200 in 10ms (compile: 3ms, render: 7ms)
 GET /api/store/brands 200 in 14ms (compile: 2ms, render: 12ms)
 GET /api/store/colors-modalities 200 in 10ms (compile: 3ms, render: 7ms)
 GET /api/settings/store 200 in 13ms (compile: 3ms, render: 10ms)
 GET /api/store/brands 200 in 11ms (compile: 3ms, render: 8ms)
 GET /api/settings/store 200 in 9ms (compile: 3ms, render: 6ms)
 GET /api/settings/store 200 in 11ms (compile: 5ms, render: 6ms)
